Time (seconds)	Synchronized Synthetic MI Data (dB)	
23.4949	-56.4998+0.7896i
23.5282	-57.2988+0.7896i
23.5616	-58.0368+0.7896i
23.5949	-58.7503+0.7896i
23.6282	-59.4348+0.7896i
23.6615	-60.1693+0.7896i
23.6949	-60.8958+0.7896i
23.7282	-61.6291+0.7896i
23.7615	-62.3435+0.7896i
23.7948	-63.0040+0.7896i
23.8282	-63.4634+0.7896i
23.8615	-63.7508+0.7896i
23.8948	-63.8236+0.7896i
23.9282	-63.7362+0.7896i
23.9615	-63.4509+0.7896i
23.9948	-63.0163+0.7896i
24.0281	-62.4799+0.7896i
24.0615	-61.9163+0.7896i
24.0948	-61.2851+0.7896i
24.1281	-60.9336+0.7896i
24.1614	-60.5097+0.7896i
24.1948	-60.2459+0.7896i
24.2281	-59.9607+0.7896i
24.2614	-59.6193+0.7896i
24.2947	-59.1772+0.7896i
24.3281	-58.6367+0.7896i
24.3614	-58.0135+0.7896i
24.3947	-57.3454+0.7896i
24.4280	-56.6176+0.7896i
24.4614	-55.9115+0.7896i
24.4947	-55.1470+0.7896i
24.5280	-54.4270+0.7896i
24.5613	-53.6802+0.7896i
24.5947	-52.9148+0.7896i
24.6280	-52.0633+0.7896i
24.6613	-51.1693+0.7896i
24.6947	-50.1268+0.7896i
24.7280	-49.0911+0.7896i
24.7613	-47.9958+0.7896i
24.7946	-46.9080+0.7896i
24.8280	-45.9041+0.7896i
24.8613	-44.9176+0.7896i
24.8946	-44.0745+0.7896i
24.9279	-43.3846+0.7896i
24.9613	-42.8644+0.7896i
24.9946	-42.6008+0.7896i
25.0279	-42.5349+0.7896i
25.0612	-42.6503+0.7896i
25.0946	-43.0309+0.7896i
25.1279	-43.7962+0.7896i
25.1612	-44.7742+0.7896i
25.1945	-45.9081+0.7896i
25.2279	-47.0956+0.7896i
25.2612	-48.2931+0.7896i
25.2945	-49.4143+0.7896i
25.3279	-50.4829+0.7896i
25.3612	-51.4757+0.7896i
25.3945	-52.4537+0.7896i
25.4278	-53.4136+0.7896i
25.4612	-54.3124+0.7896i
25.4945	-55.1890+0.7896i
25.5278	-56.0474+0.7896i
25.5611	-56.8862+0.7896i
25.5945	-57.6615+0.7896i
25.6278	-58.3585+0.7896i
25.6611	-58.9728+0.7896i
25.6944	-59.3526+0.7896i
25.7278	-59.4688+0.7896i
25.7611	-59.4067+0.7896i
25.7944	-59.1488+0.7896i
25.8277	-58.7877+0.7896i
25.8611	-58.3640+0.7896i
25.8944	-57.7980+0.7896i
25.9277	-57.2320+0.7896i
25.9610	-56.5667+0.7896i
25.9944	-55.8531+0.7896i
26.0277	-55.0427+0.7896i
26.0610	-54.2419+0.7896i
26.0944	-53.5854+0.7896i
26.1277	-53.1684+0.7896i
26.1610	-53.0948+0.7896i
26.1943	-53.0212+0.7896i
26.2277	-53.1406+0.7896i
26.2610	-53.5507+0.7896i
26.2943	-54.1081+0.7896i
26.3276	-54.9571+0.7896i
26.3610	-55.7840+0.7896i
26.3943	-56.5825+0.7896i
26.4276	-57.1572+0.7896i
26.4609	-57.4932+0.7896i
26.4943	-57.4256+0.7896i
26.5276	-57.0377+0.7896i
26.5609	-56.3640+0.7896i
26.5942	-55.4867+0.7896i
26.6276	-54.4963+0.7896i
26.6609	-53.4293+0.7896i
26.6942	-52.3644+0.7896i
26.7275	-51.2819+0.7896i
26.7609	-50.1353+0.7896i
26.7942	-49.0147+0.7896i
26.8275	-47.9018+0.7896i
26.8609	-46.7934+0.7896i
26.8942	-45.7250+0.7896i
26.9275	-44.6388+0.7896i
26.9608	-43.6102+0.7896i
26.9942	-42.6601+0.7896i
27.0275	-41.7670+0.7896i
